Day,Group,Folder,Cell_ID,Area,Aspect_Ratio,Length_um,Width_um,C1_Mean,C2_Mean,C3_PI_Mean,Ratio_C1_C2,Status
1,C,C1,C1_00552,2.603,2.280,2.749,1.206,104.474,333.909,2.714,0.312882,living
1,C,C1,C1_00553,2.332,2.280,2.602,1.141,109.225,381.007,3.036,0.286673,living
1,C,C1,C1_00554,1.791,1.478,1.836,1.242,86.434,371.651,2.302,0.232568,living
1,C,C1,C1_00555,2.265,2.280,2.564,1.125,58.672,403.575,2.433,0.145380,living
1,C,C1,C1_00556,2.113,1.973,2.304,1.168,84.528,360.296,2.928,0.234607,living
1,C,C1,C1_00557,0.963,2.099,1.604,0.764,21.737,325.947,2.474,0.066688,living
1,C,C1,C1_00558,2.248,2.227,2.525,1.134,51.684,390.233,2.692,0.132444,living
1,C,C1,C1_00559,1.504,2.717,2.281,0.840,17.326,335.798,2.135,0.051596,living
1,C,C1,C1_00560,3.042,2.280,2.972,1.303,27.261,427.556,2.444,0.063760,living
1,C,C1,C1_00561,1.268,2.163,1.869,0.864,16.560,328.400,2.653,0.050426,living
1,C,C1,C1_00562,1.893,3.050,2.711,0.889,22.982,322.616,2.241,0.071237,living
1,C,C1,C1_00563,1.589,2.280,2.148,0.942,35.830,363.223,2.979,0.098644,living
1,C,C1,C1_00564,2.129,1.798,2.208,1.228,39.056,448.159,2.484,0.087147,living
1,C,C1,C1_00565,1.031,2.280,1.730,0.759,19.066,306.557,2.689,0.062193,living
1,C,C1,C1_00566,1.622,1.703,1.875,1.101,40.333,381.167,2.698,0.105815,living
1,C,C1,C1_00567,1.656,2.280,2.193,0.962,32.408,389.316,3.102,0.083244,living
1,C,C1,C1_00568,2.011,1.929,2.222,1.152,20.479,337.437,2.529,0.060690,living
1,C,C1,C1_00569,1.707,2.138,2.156,1.008,27.030,374.762,2.554,0.072125,living
1,C,C1,C1_00570,1.487,2.124,2.005,0.944,29.614,345.636,2.080,0.085679,living
1,C,C1,C1_00571,2.501,2.575,2.864,1.112,22.365,392.155,2.885,0.057031,living
1,C,C1,C1_00572,1.656,1.991,2.049,1.029,21.224,358.735,2.204,0.059165,living
1,C,C1,C1_00573,1.115,1.737,1.570,0.904,20.742,360.682,2.348,0.057509,living
1,C,C1,C1_00574,2.062,1.678,2.099,1.251,26.180,396.861,2.279,0.065969,living
1,C,C1,C1_00575,1.217,3.830,2.436,0.636,14.278,297.347,2.667,0.048017,living
1,C,C1,C1_00576,2.231,2.675,2.757,1.030,19.439,385.742,2.106,0.050395,living
