"Batch","Day","n","C1_Mittel","CV_C1_Pct","C2_Mittel","CV_C2_Pct","r_C1_C2","r_C1_C2_part"
"Batch 1",2,1287,503.215789432789,34.7365167891996,513.507003885004,35.2167774931318,0.915817342849289,0.910097676101649
"Batch 1",3,1405,787.218849822064,35.2024248342021,774.658951601423,36.7449727794294,0.918496250129831,0.908164894380885
"Batch 1",4,59,58.7065762711864,82.857319249636,507.619644067797,50.5534711924988,0.542730321560218,0.520061255422516
"Batch 1",7,546,54.0879706959707,61.2278711893026,460.470393772894,21.9409824869216,0.327874501433992,0.22722702048527
"Batch 1",8,2139,48.5245264142122,60.5866437734642,467.85807713885,25.0829988908444,0.107325612160727,0.0346443679906484
"Batch 1",9,675,37.7241303703704,61.54392145438,281.154644444444,44.1108582635025,0.283333812436461,0.22698935230047
"Batch 1",10,1379,49.1332284263959,63.1192339494666,571.118357505439,17.0719438328968,0.292814749645284,0.218250402234259
"Batch 1",11,1464,49.5760047814208,62.25073878127,559.332759562841,17.9771182111965,0.365447139633024,0.310634475718711
"Batch 2",1,3423,44.9461422728601,63.1536525091889,365.025374817412,13.6539207333317,0.0747692037760598,-0.0575212515883759
"Batch 2",2,2689,59.0125727036073,64.1241042473435,736.867930829305,13.9628891036446,0.325867875343383,0.223121441120844
"Batch 2",3,955,60.506135078534,64.1475639987297,515.0228513089,18.1363952626783,0.132006048371901,0.00867942231632056
"Batch 2",4,1339,66.3233719193428,60.6485260497349,771.015336818521,16.9592722334448,0.26895150628896,0.161682595865605
"Batch 2",5,903,60.2910454042082,63.152144881911,717.069910299003,19.6157898663906,0.314921999517493,0.223977349869111
